Code,State,Votes,Hprob,Tprob,Jprob,Mprob,Hvotes,Tvotes,Jvotes,Mvotes,Ovotes
US,National,538,0.7120,0.2880,0.0000,0.0000,0.4880,0.4490,0.0480,0.0150,0.0000
AL,Alabama,9,0.0030,0.9970,0.0000,0.0000,0.3710,0.5840,0.0280,0.0000,0.0170
AK,Alaska,3,0.2783,0.7217,0.0000,0.0000,0.4120,0.4740,0.0980,0.0000,0.0160
AZ,Arizona,11,0.3600,0.6400,0.0000,0.0000,0.4570,0.4770,0.0530,0.0000,0.0130
AR,Arkansas,6,0.0070,0.9930,0.0000,0.0000,0.3750,0.5590,0.0490,0.0000,0.0170
CA,California,55,0.9990,0.0010,0.0000,0.0000,0.5890,0.3530,0.0420,0.0000,0.0160
CO,Colorado,9,0.7410,0.2590,0.0000,0.0000,0.4740,0.4380,0.0760,0.0000,0.0120
CT,Connecticut,7,0.9570,0.0430,0.0000,0.0000,0.5290,0.4120,0.0450,0.0000,0.0140
DE,Delaware,3,0.8930,0.1070,0.0000,0.0000,0.5270,0.4120,0.0460,0.0000,0.0150
DC,D.C.,3,0.9990,0.0010,0.0000,0.0000,0.8330,0.1230,0.0150,0.0000,0.0290
FL,Florida,29,0.5020,0.4980,0.0000,0.0000,0.4790,0.4780,0.0300,0.0000,0.0130
GA,Georgia,16,0.1678,0.8322,0.0000,0.0000,0.4510,0.5020,0.0470,0.0000,0.0000
HI,Hawaii,4,0.9830,0.0170,0.0000,0.0000,0.5810,0.3470,0.0520,0.0000,0.0200
ID,Idaho,4,0.0070,0.9930,0.0000,0.0000,0.3510,0.5580,0.0710,0.0000,0.0200
IL,Illinois,20,0.9820,0.0180,0.0000,0.0000,0.5380,0.4030,0.0460,0.0000,0.0130
IN,Indiana,11,0.0380,0.9620,0.0000,0.0000,0.4110,0.5190,0.0700,0.0000,0.0000
IA,Iowa,6,0.3610,0.6390,0.0000,0.0000,0.4560,0.4780,0.0540,0.0000,0.0120
KS,Kansas,6,0.0460,0.9540,0.0000,0.0000,0.3990,0.5110,0.0730,0.0000,0.0170
KY,Kentucky,8,0.0050,0.9950,0.0000,0.0000,0.3780,0.5680,0.0370,0.0000,0.0170
LA,Louisiana,8,0.0060,0.9940,0.0000,0.0000,0.3880,0.5600,0.0360,0.0000,0.0160
ME1,Maine D1,1,0.9030,0.0970,0.0000,0.0000,0.5330,0.3990,0.0520,0.0000,0.0160
ME2,Maine D2,1,0.4910,0.5090,0.0000,0.0000,0.4600,0.4620,0.0660,0.0000,0.0120
ME,Maine,2,0.7990,0.2010,0.0000,0.0000,0.4980,0.4290,0.0590,0.0000,0.0140
MD,Maryland,10,0.9990,0.0010,0.0000,0.0000,0.6110,0.3340,0.0390,0.0000,0.0160
MA,Massachusetts,11,0.9990,0.0010,0.0000,0.0000,0.5840,0.3440,0.0560,0.0000,0.0160
