Code,Beta
US,674.254146902
AL,163.483365896
AK,73.1133972868
AZ,291.815540938
AR,160.0
CA,157.139943098
CO,300.877800617
CT,203.175027057
DE,107.478247053
DC,17.7365874526
FL,27.8402234663
GA,327.001763096
HI,76.2331982815
ID,127.490815674
IL,225.368326207
IN,235.025101691
IA,238.037226367
KS,207.035820806
KY,184.017004493
LA,201.804553284
ME1,85.7512199045
ME2,30.7956132886
ME,138.680227757
MD,117.105629431
MA,147.785821038
MI,302.119523395
MN,264.827462048
MS,213.005734028
MO,262.690309664
MT,115.712474982
NE1,55.773978548
NE2,62.7837697129
NE3,33.721907582
NE,104.202926181
NV,262.889612976
NH,185.138664272
NJ,216.973773722
NM,217.399076823
NY,184.721421193
NC,1225.92072989
ND,67.3479881297
OH,312.091505416
OK,142.898777068
OR,236.438781239
PA,306.069578072
RI,99.7681638494
SC,271.368931072
SD,85.4304696331
TN,232.119919975
TX,298.145642224
UT,138.541463568
VT,53.1477266569
VA,319.720865886
WA,212.892998627
WV,103.711083761
WI,264.839209165
WY,34.2743754518
