time,hwins,twins,helec,telec
2016-11-07 11:14:11.829000,0.751,0.238,305.652,231.694
2016-11-07 11:14:21.527000,0.735,0.255,303.683,233.591
2016-11-07 11:16:01.182000,0.751,0.242,303.953,233.339
2016-11-07 11:25:34.101000,0.734,0.253,303.398,233.756
2016-11-07 11:28:01.785000,0.709,0.281,300.942,236.236
2016-11-07 11:28:56.624000,0.733,0.256,303.069,234.163
2016-11-07 11:29:38.142000,0.734,0.253,304.407,232.897
2016-11-07 11:31:33.262000,0.734,0.253,302.362,234.822
2016-11-07 11:32:59.264000,0.725,0.27,300.441,236.953
2016-11-07 11:33:37.464000,0.719,0.273,301.431,235.8
2016-11-07 11:35:00.761000,0.713,0.282,300.941,236.267
2016-11-07 11:35:34.441000,0.715,0.276,299.751,237.565
2016-11-07 11:46:16.604887,0.743,0.253,304.983,232.309
2016-11-07 11:47:26.546975,0.724,0.267,301.386,235.87
2016-11-07 11:48:36.674691,0.72,0.274,304.186,233.064
2016-11-07 11:49:47.604024,0.74,0.247,305.021,232.265
2016-11-07 11:50:57.647347,0.713,0.277,301.658,235.598
2016-11-07 11:52:07.693452,0.723,0.262,302.523,234.757
2016-11-07 11:53:17.612628,0.73,0.254,302.623,234.711
2016-11-07 11:54:28.032930,0.697,0.289,299.21,238.16
2016-11-07 11:55:38.306426,0.712,0.279,299.203,238.065
2016-11-07 11:56:48.520942,0.713,0.281,301.329,235.855
2016-11-07 11:57:58.491066,0.703,0.283,299.993,237.371
2016-11-07 11:59:08.554890,0.71,0.277,301.098,236.152
2016-11-07 12:00:18.642530,0.73,0.263,303.105,234.094
2016-11-07 12:01:28.911924,0.732,0.257,301.7,235.55
2016-11-07 12:02:39.652515,0.727,0.267,302.008,235.242
2016-11-07 12:03:50.643717,0.729,0.262,302.477,234.731
2016-11-07 12:05:00.629566,0.732,0.26,303.779,233.489
2016-11-07 12:06:10.764245,0.723,0.266,301.777,235.455
2016-11-07 12:07:20.888113,0.72,0.271,302.509,234.861
2016-11-07 12:08:31.729210,0.712,0.282,299.759,237.581
2016-11-07 12:09:42.114378,0.693,0.297,299.442,237.832
2016-11-07 12:10:52.727327,0.731,0.262,302.036,235.154
2016-11-07 12:12:03.516913,0.76,0.236,306.209,231.101
2016-11-07 12:13:13.586651,0.716,0.272,299.288,238.028
2016-11-07 12:14:24.466884,0.729,0.261,302.508,234.76
2016-11-07 12:15:34.801482,0.722,0.271,302.16,235.084
2016-11-07 12:16:44.730454,0.729,0.262,304.348,232.92
2016-11-07 12:17:54.821332,0.714,0.274,301.905,235.417
2016-11-07 12:19:05.760330,0.729,0.257,303.54,233.776
2016-11-07 12:20:15.730095,0.749,0.245,305.113,232.095
2016-11-07 12:21:25.964639,0.727,0.261,302.608,234.528
2016-11-07 12:22:37.007286,0.73,0.263,302.573,234.683
2016-11-07 12:23:47.076501,0.711,0.28,298.173,239.095
2016-11-07 12:24:57.317582,0.736,0.253,302.814,234.478
